CNPJ,RazaoSocial,Trimestre,Ano,ValorDespesas
00000220222023,,UNKNOWN,unknown,
20220301000000,40154493,UNKNOWN,unknown,49091445.0
20220601000000,40614659,UNKNOWN,unknown,49641853.0
20220901000000,41071771,UNKNOWN,unknown,50102365.0
20221201000000,41387805,UNKNOWN,unknown,50394426.0
20230301000000,41530252,UNKNOWN,unknown,50494414.0
20220301000000,23357917,UNKNOWN,unknown,28463701.0
20220601000000,23865770,UNKNOWN,unknown,29042536.0
20220901000000,24439359,UNKNOWN,unknown,29749270.0
20221201000000,24979703,UNKNOWN,unknown,30305268.0
20230301000000,25319879,UNKNOWN,unknown,30666838.0
00000000052023,,UNKNOWN,unknown,
00000000002023,,UNKNOWN,unknown,
00000000000001,,UNKNOWN,unknown,
00000000000002,,UNKNOWN,unknown,
00000220192023,,UNKNOWN,unknown,
00000000052023,,UNKNOWN,unknown,
00000000002023,,UNKNOWN,unknown,
00000000000001,,UNKNOWN,unknown,
00000000000002,,UNKNOWN,unknown,
00000020162023,,UNKNOWN,unknown,
20160301000000,20443744,UNKNOWN,unknown,48614271.0
20160601000000,20663856,UNKNOWN,unknown,48266704.0
20160901000000,20858519,UNKNOWN,unknown,47927181.0
20161201000000,21181491,UNKNOWN,unknown,47685266.0
20170301000000,21499200,UNKNOWN,unknown,47366416.0
20170601000000,21617290,UNKNOWN,unknown,47320926.0
20170901000000,21979881,UNKNOWN,unknown,47185284.0
20171201000000,22271134,UNKNOWN,unknown,47144909.0
20180301000000,22419447,UNKNOWN,unknown,47009249.0
20180601000000,23263131,UNKNOWN,unknown,47115883.0
20180901000000,23848439,UNKNOWN,unknown,47140156.0
20181201000000,24046363,UNKNOWN,unknown,47139003.0
20190301000000,24212147,UNKNOWN,unknown,46921502.0
20190601000000,24434006,UNKNOWN,unknown,47023317.0
20190901000000,24861374,UNKNOWN,unknown,47026045.0
20191201000000,25426316,UNKNOWN,unknown,47070879.0
20200301000000,25522154,UNKNOWN,unknown,47068308.0
20200601000000,24746954,UNKNOWN,unknown,46653924.0
20200901000000,25462492,UNKNOWN,unknown,46972398.0
20201201000000,26038882,UNKNOWN,unknown,47476168.0
20210301000000,26444376,UNKNOWN,unknown,47783412.0
20210601000000,26868182,UNKNOWN,unknown,48134616.0
20210901000000,27754704,UNKNOWN,unknown,48524855.0
20211201000000,28273256,UNKNOWN,unknown,48903808.0
20220301000000,28463701,UNKNOWN,unknown,49091445.0
20220601000000,29042536,UNKNOWN,unknown,49641853.0
20220901000000,29749270,UNKNOWN,unknown,50102365.0
20221201000000,30305268,UNKNOWN,unknown,50394426.0
20230301000000,30666838,UNKNOWN,unknown,50494414.0
00000000052023,,UNKNOWN,unknown,
00000000002023,,UNKNOWN,unknown,
00000000000001,,UNKNOWN,unknown,
00000000000002,,UNKNOWN,unknown,
00000320182023,,UNKNOWN,unknown,
00000000052023,,UNKNOWN,unknown,
00000000002023,,UNKNOWN,unknown,
00000000000001,,UNKNOWN,unknown,
00000000000002,,UNKNOWN,unknown,
00000020162023,,UNKNOWN,unknown,
20160301000000,5163199,UNKNOWN,unknown,48614271.0
20160601000000,5136172,UNKNOWN,unknown,48266704.0
20160901000000,5098696,UNKNOWN,unknown,47927181.0
20161201000000,5029219,UNKNOWN,unknown,47685266.0
20170301000000,4996645,UNKNOWN,unknown,47366416.0
20170601000000,4972099,UNKNOWN,unknown,47320926.0
20170901000000,4947528,UNKNOWN,unknown,47185284.0
20171201000000,4868157,UNKNOWN,unknown,47144909.0
20180301000000,4831545,UNKNOWN,unknown,47009249.0
20180601000000,4787013,UNKNOWN,unknown,47115883.0
20180901000000,4756227,UNKNOWN,unknown,47140156.0
20181201000000,4669480,UNKNOWN,unknown,47139003.0
