tipo,CNPJ,RazaoAnterior,RazaoAtual,valor,arquivo
CNPJ_Razao_Conflito,20220301000000,40154493,23357917,,caderno_jun23.zip
CNPJ_Razao_Conflito,20220601000000,40614659,23865770,,caderno_jun23.zip
CNPJ_Razao_Conflito,20220901000000,41071771,24439359,,caderno_jun23.zip
CNPJ_Razao_Conflito,20221201000000,41387805,24979703,,caderno_jun23.zip
CNPJ_Razao_Conflito,20230301000000,41530252,25319879,,caderno_jun23.zip
CNPJ_Razao_Conflito,20220301000000,40154493,28463701,,caderno_jun23.zip
CNPJ_Razao_Conflito,20220601000000,40614659,29042536,,caderno_jun23.zip
CNPJ_Razao_Conflito,20220901000000,41071771,29749270,,caderno_jun23.zip
CNPJ_Razao_Conflito,20221201000000,41387805,30305268,,caderno_jun23.zip
CNPJ_Razao_Conflito,20230301000000,41530252,30666838,,caderno_jun23.zip
CNPJ_Razao_Conflito,20160301000000,20443744,5163199,,caderno_jun23.zip
CNPJ_Razao_Conflito,20160601000000,20663856,5136172,,caderno_jun23.zip
CNPJ_Razao_Conflito,20160901000000,20858519,5098696,,caderno_jun23.zip
CNPJ_Razao_Conflito,20161201000000,21181491,5029219,,caderno_jun23.zip
CNPJ_Razao_Conflito,20170301000000,21499200,4996645,,caderno_jun23.zip
CNPJ_Razao_Conflito,20170601000000,21617290,4972099,,caderno_jun23.zip
CNPJ_Razao_Conflito,20170901000000,21979881,4947528,,caderno_jun23.zip
CNPJ_Razao_Conflito,20171201000000,22271134,4868157,,caderno_jun23.zip
CNPJ_Razao_Conflito,20180301000000,22419447,4831545,,caderno_jun23.zip
CNPJ_Razao_Conflito,20180601000000,23263131,4787013,,caderno_jun23.zip
CNPJ_Razao_Conflito,20180901000000,23848439,4756227,,caderno_jun23.zip
CNPJ_Razao_Conflito,20181201000000,24046363,4669480,,caderno_jun23.zip
CNPJ_Razao_Conflito,20190301000000,24212147,4628011,,caderno_jun23.zip
CNPJ_Razao_Conflito,20190601000000,24434006,4591908,,caderno_jun23.zip
CNPJ_Razao_Conflito,20190901000000,24861374,4552987,,caderno_jun23.zip
CNPJ_Razao_Conflito,20191201000000,25426316,4458418,,caderno_jun23.zip
CNPJ_Razao_Conflito,20200301000000,25522154,4383414,,caderno_jun23.zip
